campaign_id,campaign_name,campaign_date
36,02.12.2026 - MF - Winback Campaign (Campaign 4) Batch #29,2026-02-12
37,02.12.2026 - MF - Winback Campaign (Campaign 4) Batch #30,2026-02-12
38,02.12.2026 - MF - Winback Campaign (Campaign 4) NG Batch #1,2026-02-12
39,02.12.2026 - MF - Winback Campaign (Campaign 4) NG Batch #2,2026-02-12
40,02.12.2026 - MF - Winback Campaign (Campaign 4) NG Batch #3,2026-02-12
41,02.12.2026 - MF - Winback Campaign (Campaign 4) NG Batch #4,2026-02-12
42,02.12.2026 - MF - Winback Campaign (Campaign 4) NG Batch #5,2026-02-12
43,02.12.2026 - MF - Winback Campaign (Campaign 4) NG Batch #6,2026-02-12
44,02.13.2026 - MF - CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #1,2026-02-13
45,02.13.2026 - MF - CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #2,2026-02-13
46,02.13.2026 - MF - CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #3,2026-02-13
47,02.13.2026 - MF - CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #4,2026-02-13
48,02.14.2026 - MF - CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #5,2026-02-14
49,02.14.2026 - MF - CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #6,2026-02-14
50,02.14.2026 - MF - CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #7,2026-02-14
51,02.14.2026 - MF - CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #8,2026-02-14
52,02.14.2026 - MF - CAMPAIGN 5 - Don't Let Pests Spoil Valentine's Day Batch #9,2026-02-14
53,02.17.2026 - MF - Winback Campaign (Campaign 4) NG Batch #10,2026-02-17
54,02.17.2026 - MF - Winback Campaign (Campaign 4) NG Batch #11,2026-02-17
55,02.17.2026 - MF - Winback Campaign (Campaign 4) NG Batch #12,2026-02-17
56,02.17.2026 - MF - Winback Campaign (Campaign 4) NG Batch #7,2026-02-17
57,02.17.2026 - MF - Winback Campaign (Campaign 4) NG Batch #8,2026-02-17
58,02.17.2026 - MF - Winback Campaign (Campaign 4) NG Batch #9,2026-02-17
59,02.18.2026 - MF - Winback Campaign (Campaign 4) NG Batch #13,2026-02-18
60,02.18.2026 - MF - Winback Campaign (Campaign 4) NG Batch #14,2026-02-18
61,02.18.2026 - MF - Winback Campaign (Campaign 4) NG Batch #15,2026-02-18
62,02.18.2026 - MF - Winback Campaign (Campaign 4) NG Batch #16,2026-02-18
63,02.18.2026 - MF - Winback Campaign (Campaign 4) NG Batch #17,2026-02-18
64,02.18.2026 - MF - Winback Campaign (Campaign 4) NG Batch #18,2026-02-18
65,02.19.2026 - MF - Winback Campaign (Campaign 4) NG Batch #19,2026-02-19
66,02.19.2026 - MF - Winback Campaign (Campaign 4) NG Batch #20,2026-02-19
67,02.19.2026 - MF - Winback Campaign (Campaign 4) NG Batch #21,2026-02-19
68,02.19.2026 - MF - Winback Campaign (Campaign 4) NG Batch #22,2026-02-19
69,02.19.2026 - MF - Winback Campaign (Campaign 4) NG Batch #23,2026-02-19
70,02.19.2026 - MF - Winback Campaign (Campaign 4) NG Batch #24,2026-02-19
71,02.20.2026 - MF - Winback Campaign (Campaign 4) NG Batch #25,2026-02-20
72,02.20.2026 - MF - Winback Campaign (Campaign 4) NG Batch #26,2026-02-20
73,02.20.2026 - MF - Winback Campaign (Campaign 4) NG Batch #27,2026-02-20
74,02.20.2026 - MF - Winback Campaign (Campaign 4) NG Batch #28,2026-02-20
75,02.20.2026 - MF - Winback Campaign (Campaign 4) NG Batch #29,2026-02-20
76,02.20.2026 - MF - Winback Campaign (Campaign 4) NG Batch #30,2026-02-20
77,02.20.2026 - MF - Winback Campaign (Campaign 4) NG Batch #31,2026-02-20
78,02.20.2026 - MF - Winback Campaign (Campaign 4) NG Batch #32,2026-02-20
79,02.20.2026 - MF - Winback Campaign (Campaign 4) NG Batch #33,2026-02-20
80,03.12.2026 - Spring Pests - What to Expect - Warm up Day 1 _ (Gmail),2026-03-12
81,03.13.2026 - Spring Pests - What to Expect - Warm up Day 2_ (Gmail),2026-03-13
82,03.16.2026 - Spring Pests - What to Expect - Warm up Day 3_ (Gmail),2026-03-16
83,03.16.2026 - Spring Pests - What to Expect - Warm up Day 3_ (Non_Gmail 1),2026-03-16
84,03.17.2026 - Spring Pests - What to Expect - Warm up Day 4_ (Gmail),2026-03-17
85,03.17.2026 - Spring Pests - What to Expect - Warm up Day 4_ (Non_Gmail 2),2026-03-17
86,03.18.2026 - Spring Pests - What to Expect - Warm up Day 5_ (Non_Gmail 3),2026-03-18
87,03.19.2026 - ST - How to spot beg bug poop - Warm up Day 6,2026-03-19
88,03.20.2026 - ST - How to spot beg bug poop - Warm up Day 7,2026-03-20
89,03.23.2026 - ST - How to spot beg bug poop - Warm up Day 8,2026-03-23
90,03.27.2026 - ST - What does squirrel poop look like_ Warm up day 9_Gmail,2026-03-27
91,03.27.2026 - ST - What does squirrel poop look like_ Warm up day 9_NonGmail,2026-03-27
92,04.03.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 10_Gmail,2026-04-03
93,04.03.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 10_NonGmail,2026-04-03
94,04.07.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 11_Gmail,2026-04-07
95,04.07.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 11_NonGmail,2026-04-07
96,04.08.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 12_ Gmail,2026-04-08
97,04.08.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 12_NonGmail,2026-04-08
98,04.09.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 13_ Gmail,2026-04-09
99,04.09.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 13_NonGmail,2026-04-09
100,04.10.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 14_ Gmail,2026-04-10
101,04.10.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 14_NonGmail,2026-04-10
102,04.13.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 15_Gmail,2026-04-13
103,04.13.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 15_NonGmail,2026-04-13
104,04.14.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 16_Gmail,2026-04-14
105,04.14.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 16_NonGmail,2026-04-14
106,04.15.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 17_Gmail,2026-04-15
107,04.15.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 17_NonGmail,2026-04-15
108,04.16.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 18_Gmail,2026-04-16
109,04.16.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 18_NonGmail,2026-04-16
110,04.17.2026 - HO - Turn Your Backyard Into A Sanctuary - Warm up day 19_NonGmail,2026-04-17
111,04.22.2026 - Termite Swarming Season Is Here - Act Now_Gmail,2026-04-22
112,04.22.2026 - Termite Swarming Season Is Here - Act Now_NonGmail,2026-04-22
113,04.28.2026 - HO - How to spot rat poop_Gmail,2026-04-28
114,04.28.2026 - HO - How to spot rat poop_NonGmail,2026-04-28
115,05.01.2026 - HO - Turn Your Backyard Into A Sanctuary - Resend - Gmail Batch 1,2026-05-01
116,05.01.2026 - HO - Turn Your Backyard Into A Sanctuary - Resend - Gmail Batch 2,2026-05-01
117,05.01.2026 - HO - Turn Your Backyard Into A Sanctuary - Resend - NonGmail Batch 1,2026-05-01
118,05.01.2026 - HO - Turn Your Backyard Into A Sanctuary - Resend - NonGmail Batch 2,2026-05-01
119,"05.08.2026 - MF - If You've Seen One, There Are Likely Millions More - Gmail_1",2026-05-08
120,"05.08.2026 - MF - If You've Seen One, There Are Likely Millions More - NonGmail_1",2026-05-08
121,"05.12.2026 - MF - If You've Seen One, There Are Likely Millions More - Gmail_2",2026-05-12
122,"05.12.2026 - MF - If You've Seen One, There Are Likely Millions More - NonGmail_2",2026-05-12
123,05.19.2026 - HO - Those Are Not Flying Ants (Termite Focus)_Gmail,2026-05-19
124,05.19.2026 - HO - Those Are Not Flying Ants (Termite Focus)_NonGmail,2026-05-19
125,05.22.2026 - ST - What does mouse poop look like_ - NonHPP Gmail,2026-05-22
126,05.22.2026 - ST - What does mouse poop look like_ - NonHPP NonGmail,2026-05-22
127,05.27.2026 - MF - Summer Pests_ Don't Wait Until You Spot Them [Gmail],2026-05-27
128,05.27.2026 - MF - Summer Pests_ Don't Wait Until You Spot Them [NonGmail],2026-05-27
129,05.27.2026 - MF - Take Back Your Outdoor Spaces - Just In Time For Summer [HPP Gmail Users],2026-05-27
130,05.27.2026 - MF - Take Back Your Outdoor Spaces - Just In Time For Summer [HPP NonGmail Users],2026-05-27
131,05.27.2026 - MF - Take Back Your Outdoor Spaces - Just In Time For Summer [NonHPP Gmail Users],2026-05-27
132,05.27.2026 - MF - Take Back Your Outdoor Spaces - Just In Time For Summer [NonHPP NonGmail Users],2026-05-27
133,05.29.2026 - MF - Summer Pests_ Don't Wait Until You Spot Them [NOR Gmail],2026-05-29
134,05.29.2026 - MF - Summer Pests_ Don't Wait Until You Spot Them [NOR NonGmail],2026-05-29
135,06.01.2026 - HO - Ants_ Why They Keep Coming Back [FINAL Gmail],2026-06-01
136,06.01.2026 - HO - Ants_ Why They Keep Coming Back [FINAL NonGmail],2026-06-01
137,06.05.2026 - MF - How to Identify Mouse Urine [Gmail],2026-06-05
138,06.05.2026 - MF - How to Identify Mouse Urine [NonGmail],2026-06-05
139,06.11.2026 - MF - Your Home Is A Haven - Keep It That Way [Gmail],2026-06-11
140,06.11.2026 - MF - Your Home Is A Haven - Keep It That Way [NonGmail],2026-06-11
141,06.15.2026 - HO - Can Cockroaches Survive A Nuclear Bomb [NonGmail],2026-06-15
142,06.15.2026 - HO - Can Cockroaches Survive A Nuclear Bomb_ [Gmail],2026-06-15
143,06.16.2026 - MF - Last Chance For a Buzzless 4th Of July [Gmail],2026-06-16
144,06.16.2026 - MF - Last Chance For a Buzzless 4th Of July [NonGmail],2026-06-16
145,06.18.2026 - HO - How To Check For Bed Bugs In A Hotel [Gmail],2026-06-18
146,06.18.2026 - HO - How To Check For Bed Bugs In A Hotel [NonGmail],2026-06-18
147,06.19.2026 - MF - Last Chance For a Buzzless 4th Of July [NCR Gmail],2026-06-19
148,06.19.2026 - MF - Last Chance For a Buzzless 4th Of July [NCR NonGmail],2026-06-19
149,06.22.2026 - MF - Stop The Spread_ Four Reasons Pests Are Thriving Right Now [Gmail],2026-06-22
150,06.22.2026 - MF - Stop The Spread_ Four Reasons Pests Are Thriving Right Now [NonGmail],2026-06-22
151,06.23.2026 - MF - Ticks And Fleas_ Protect Your Pets This Summer [Gmail],2026-06-23
152,06.23.2026 - MF - Ticks And Fleas_ Protect Your Pets This Summer [NonGmail],2026-06-23
153,06.25.2026 - MF - Recognizing Faces And Holding Grudges - Five Fascinating Wasp Facts [Gmail],2026-06-25
154,06.25.2026 - MF - Recognizing Faces And Holding Grudges - Five Fascinating Wasp Facts [NonGmail],2026-06-25
155,06.29.2026 - MF - Real Results From Real Homeowners [Gmail],2026-06-29
156,06.29.2026 - MF - Real Results From Real Homeowners [NonGmail],2026-06-29
157,07.02.2026 - MF - It's Not Too Late To Take Back Your Backyard [Gmail],2026-07-02
158,07.03.2026 - CV - It's Not Too Late To Take Back Your Backyard [Gmail],2026-07-03
159,07.03.2026 - CV - It's Not Too Late To Take Back Your Backyard [NonGmail],2026-07-03
