"Google Click ID","Conversion Time","Conversion Name","Conversion Value","Conversion Currency",subscriptionid,campaign,location
CjwKCAiAqNSsBhAvEiwAn_tmxaUdQU8WPkFFvdNrZPbljvTsUSSTxzUpQunxI5ZD7MNwkUkmeKZlhxoCSdIQAvD_BwE,2024-01-03T22:34:00-0500,"Billable Google Ads Call",1450.00,USD,1336421,"-All Locations",https://fox-pest.com/local-location/?pest=bees&service=treatment&loc_interest_ms=&loc_physical_ms=9028174&gad_source=1&gclid=CjwKCAiAqNSsBhAvEiwAn_tmxaUdQU8WPkFFvdNrZPbljvTsUSSTxzUpQunxI5ZD7MNwkUkmeKZlhxoCSdIQAvD_BwE
Cj0KCQiAy9msBhD0ARIsANbk0A-aWxTy8pvagmzeVTiJJFmEPVq3wMTNVhtgjfuNV57Y5InXNFqfyH4aAn3cEALw_wcB,2024-01-04T12:24:00-0500,"Billable Google Ads Call",805.00,USD,1336430,"-All Locations",https://fox-pest.com/local-location/?pest=mice&service=problems%20removal&loc_interest_ms=&loc_physical_ms=9003175&gad_source=1&gclid=Cj0KCQiAy9msBhD0ARIsANbk0A-aWxTy8pvagmzeVTiJJFmEPVq3wMTNVhtgjfuNV57Y5InXNFqfyH4aAn3cEALw_wcB
Cj0KCQiAy9msBhD0ARIsANbk0A_PfK-00vEfnB26ZVAOFHDqKaPf0yoKs5tbP1l54P7NmB-kOSbM-K8aApkeEALw_wcB,2024-01-04T16:08:00-0500,"Billable Google Ads Call",1300.00,USD,1336492,"-All Locations | Phrase Match",https://fox-pest.com/local-location/?pest=rodent&service=exterminator&loc_interest_ms=&loc_physical_ms=9003237&gad_source=1&gbraid=0AAAAACVgtGAdOrtWn3NbZKZaMrTO10HK0&gclid=Cj0KCQiAy9msBhD0ARIsANbk0A_PfK-00vEfnB26ZVAOFHDqKaPf0yoKs5tbP1l54P7NmB-kOSbM-K8aApkeEALw_wcB
Cj0KCQiAy9msBhD0ARIsANbk0A8VZKnf2HX-u_UyfWsJeDpFvIzrMVu2_8yMnaYn20By9tFeTrPm_4QaAnhPEALw_wcB,2024-01-04T16:06:00-0500,"Billable Google Ads Call",635.00,USD,1336499,"-All Locations",https://fox-pest.com/local-location/?pest=local&service=exterminator&loc_interest_ms=&loc_physical_ms=9028181&gad_source=1&gbraid=0AAAAACVgtGCJumZReDOMcC1YVnowYoSi7&gclid=Cj0KCQiAy9msBhD0ARIsANbk0A8VZKnf2HX-u_UyfWsJeDpFvIzrMVu2_8yMnaYn20By9tFeTrPm_4QaAnhPEALw_wcB
Cj0KCQiAy9msBhD0ARIsANbk0A8H26PM-OK0M6JCObKOPxZbXSbuKCsmZoy-zr54y446LUCOF7tfg8AaAs5SEALw_wcB,2024-01-04T20:37:00-0500,"Billable Google Ads Call",882.00,USD,1336556,"-All Locations | Phrase Match",https://fox-pest.com/local-location/?pest=mice&service=removal&loc_interest_ms=&loc_physical_ms=9008578&gad_source=1&gclid=Cj0KCQiAy9msBhD0ARIsANbk0A8H26PM-OK0M6JCObKOPxZbXSbuKCsmZoy-zr54y446LUCOF7tfg8AaAs5SEALw_wcB
EAIaIQobChMIgcfK_qLigwMVnaBaBR3uFQdxEAAYASAAEgKJx_D_BwE,2024-01-16T15:03:00-0500,"Billable Google Ads Call",770.00,USD,1337873,"-All Locations | Phrase Match",https://fox-pest.com/local-location/?pest=pest&service=control&loc_interest_ms=&loc_physical_ms=9003452&gad_source=1&gclid=EAIaIQobChMIgcfK_qLigwMVnaBaBR3uFQdxEAAYASAAEgKJx_D_BwE
CjwKCAiA75itBhA6EiwAkho9exfJvVb71EUAmSeki0G0o-SQdgs6_nbzb-UHhwQigJDUGGTt6RS-qRoCwE4QAvD_BwE,2024-01-16T13:44:00-0500,"Billable Google Ads Call",645.00,USD,1337847,"-All Locations | Phrase Match",https://fox-pest.com/local-location/?pest=pest&service=control&loc_interest_ms=&loc_physical_ms=9021647&gad_source=1&gbraid=0AAAAACVgtGBEXj015f1BI6ZSJuLydFwxx&gclid=CjwKCAiA75itBhA6EiwAkho9exfJvVb71EUAmSeki0G0o-SQdgs6_nbzb-UHhwQigJDUGGTt6RS-qRoCwE4QAvD_BwE
EAIaIQobChMIlIyBosLigwMV2mlHAR1z5QOhEAAYAiAAEgKNV_D_BwE,2024-01-16T17:19:00-0500,"Billable Google Ads Call",865.00,USD,1337903,"-All Locations Brand",https://fox-pest.com/local-location/?pest=exterminator&service=&loc_interest_ms=&loc_physical_ms=9003177&gad_source=1&gbraid=0AAAAACVgtGCfFajMJxhT6-l66isT6GXCy&gclid=EAIaIQobChMIlIyBosLigwMV2mlHAR1z5QOhEAAYAiAAEgKNV_D_BwE
CjwKCAiA75itBhA6EiwAkho9e5GQ0C6YNz9z8Tv-ghJTg3CnOxZF8hYXdD4ZX7GSU7Z-9LKMLIlP4hoC_6MQAvD_BwE,2024-01-16T16:54:00-0500,"Billable Google Ads Call",986.00,USD,1337899,"-All Locations | Phrase Match",https://fox-pest.com/home-protection-plan/?pest=pest&service=control&loc_interest_ms=&loc_physical_ms=1018436&gad_source=1&gclid=CjwKCAiA75itBhA6EiwAkho9e5GQ0C6YNz9z8Tv-ghJTg3CnOxZF8hYXdD4ZX7GSU7Z-9LKMLIlP4hoC_6MQAvD_BwE
EAIaIQobChMIrMblyp3igwMV3U9HAR0TtwQ6EAAYASAAEgJ9pvD_BwE,2024-01-16T14:34:00-0500,"Billable Google Ads Call",300.00,USD,1337878,"-All Locations",https://fox-pest.com/local-location/?pest=mice&service=problems%20removal&loc_interest_ms=&loc_physical_ms=9001782&gad_source=5&gclid=EAIaIQobChMIrMblyp3igwMV3U9HAR0TtwQ6EAAYASAAEgJ9pvD_BwE
CjwKCAiA75itBhA6EiwAkho9e73fQZtqAMagNnCjOerGfKZVco-fFS1_7GnTQ-uSYU2BLWTOlATX5xoC3nYQAvD_BwE,2024-01-16T20:10:00-0500,"Billable Google Ads Call",640.00,USD,1337941,"-All Locations Brand",https://fox-pest.com/local-location/?pest=exterminator&service=&loc_interest_ms=&loc_physical_ms=9028171&gad_source=1&gbraid=0AAAAACVgtGCfFajMJxhT6-l66isT6GXCy&gclid=CjwKCAiA75itBhA6EiwAkho9e73fQZtqAMagNnCjOerGfKZVco-fFS1_7GnTQ-uSYU2BLWTOlATX5xoC3nYQAvD_BwE
CjwKCAiA7t6sBhAiEiwAsaieYt7cO_kB3nBmAC7R42A_pPtzKfcT7p415DVuwuhDKJMPrmkOlW615BoC2aUQAvD_BwE,2024-01-05T17:04:00-0500,"Billable Google Ads Call",952.00,USD,1336650,"-All Locations",https://fox-pest.com/local-location/?pest=insect&service=exterminator&loc_interest_ms=&loc_physical_ms=9004547&gad_source=1&gbraid=0AAAAACVgtGC8GTBgeVyApFTx1kuHkDJkC&gclid=CjwKCAiA7t6sBhAiEiwAsaieYt7cO_kB3nBmAC7R42A_pPtzKfcT7p415DVuwuhDKJMPrmkOlW615BoC2aUQAvD_BwE
EAIaIQobChMIkd3kmIrHgwMVJ6BaBR1_1QLFEAAYASAAEgKLL_D_BwE,2024-01-05T19:25:00-0500,"Billable Google Ads Call",990.00,USD,1336681,"-All Locations",https://fox-pest.com/local-location/?pest=mice&service=control&loc_interest_ms=9002028&loc_physical_ms=1018127&gad_source=1&gclid=EAIaIQobChMIkd3kmIrHgwMVJ6BaBR1_1QLFEAAYASAAEgKLL_D_BwE
CjwKCAiAkp6tBhB5EiwANTCx1MbIS3oCpC9Rfc3lyw2y_D5ic2cvq6YVniImc7EDf1SyArE8Fln6nxoCLukQAvD_BwE,2024-01-17T13:48:00-0500,"Billable Google Ads Call",1066.00,USD,1338128,"-All Locations | Phrase Match",https://fox-pest.com/local-location/?pest=mice&service=control&loc_interest_ms=&loc_physical_ms=9004476&gad_source=1&gbraid=0AAAAACVgtGB-O3-THo11uRZsXZuQ0tAeJ&gclid=CjwKCAiAkp6tBhB5EiwANTCx1MbIS3oCpC9Rfc3lyw2y_D5ic2cvq6YVniImc7EDf1SyArE8Fln6nxoCLukQAvD_BwE
CjwKCAiAkp6tBhB5EiwANTCx1JT3Wf4cTNPRxXld6T4nsKv42M9Y6r5217AU0tb3UjMvz1F6pM4IjRoCUDAQAvD_BwE,2024-01-17T12:43:00-0500,"Billable Google Ads Call",849.00,USD,1338004,"-All Locations | Phrase Match",https://fox-pest.com/local-location/?pest=pest&service=control&loc_interest_ms=&loc_physical_ms=9008589&gad_source=1&gbraid=0AAAAACVgtGB-O3-THo11uRZsXZuQ0tAeJ&gclid=CjwKCAiAkp6tBhB5EiwANTCx1JT3Wf4cTNPRxXld6T4nsKv42M9Y6r5217AU0tb3UjMvz1F6pM4IjRoCUDAQAvD_BwE
CjwKCAiAkp6tBhB5EiwANTCx1Nnd1juwrwbaf3QWDGMfEr6WBbe4WMdSy-ojybkRnBSJ1OVyD4QsURoCTLUQAvD_BwE,2024-01-17T13:22:00-0500,"Billable Google Ads Call",802.00,USD,1337997,"-All Locations | Phrase Match",https://fox-pest.com/local-location/?pest=pest&service=control&loc_interest_ms=&loc_physical_ms=9021647&gad_source=1&gbraid=0AAAAACVgtGDqkbxi1hpa6_zvtntvaNz8S&gclid=CjwKCAiAkp6tBhB5EiwANTCx1Nnd1juwrwbaf3QWDGMfEr6WBbe4WMdSy-ojybkRnBSJ1OVyD4QsURoCTLUQAvD_BwE
CjwKCAiAkp6tBhB5EiwANTCx1MFOEIN2SqA7i9qztYwV-81KtD11yziaPWhLOFWT6mF_8Bg5FM_BYhoC76UQAvD_BwE,2024-01-17T13:23:00-0500,"Billable Google Ads Call",605.00,USD,1338000,"-All Locations | Phrase Match",https://fox-pest.com/local-location/?pest=flea&service=extermination&loc_interest_ms=&loc_physical_ms=9012393&gad_source=1&gbraid=0AAAAACVgtGDqkbxi1hpa6_zvtntvaNz8S&gclid=CjwKCAiAkp6tBhB5EiwANTCx1MFOEIN2SqA7i9qztYwV-81KtD11yziaPWhLOFWT6mF_8Bg5FM_BYhoC76UQAvD_BwE
CjwKCAiAkp6tBhB5EiwANTCx1HKZKw5CMN95wHu5pnVcCOwEbq-ATV13i9qZKQB3D7ENZGuxyk8RhRoC37MQAvD_BwE,2024-01-17T13:45:00-0500,"Billable Google Ads Call",755.00,USD,1338007,"-All Locations | Phrase Match",https://fox-pest.com/local-location/?pest=ant&service=control&loc_interest_ms=&loc_physical_ms=9026827&gad_source=1&gclid=CjwKCAiAkp6tBhB5EiwANTCx1HKZKw5CMN95wHu5pnVcCOwEbq-ATV13i9qZKQB3D7ENZGuxyk8RhRoC37MQAvD_BwE
CjwKCAiAkp6tBhB5EiwANTCx1K1Bwb-FAQN4eMPOItauS87JhnS5j4kpZ1qMoYwbP7Ext1qk0s-koBoCu-MQAvD_BwE,2024-01-17T14:33:00-0500,"Billable Google Ads Call",859.00,USD,1338020,"-All Locations Brand",https://fox-pest.com/locations/?pest=exterminator&service=&loc_interest_ms=&loc_physical_ms=9005676&gad_source=1&gclid=CjwKCAiAkp6tBhB5EiwANTCx1K1Bwb-FAQN4eMPOItauS87JhnS5j4kpZ1qMoYwbP7Ext1qk0s-koBoCu-MQAvD_BwE
Cj0KCQiAkeSsBhDUARIsAK3tiefDhL3DpIzqKxvx6NTqi5pTZ-t4tJ_impAnK4A1R5RBMLmQ-3K9byQaAo2qEALw_wcB,2024-01-06T15:13:00-0500,"Billable Google Ads Call",865.00,USD,1336723,"-All Locations Brand",https://fox-pest.com/about-us/?pest=exterminator&service=&loc_interest_ms=&loc_physical_ms=9021603&gad_source=1&gbraid=0AAAAACVgtGCAjoRwiTfzVz_4ayuvTJXY9&gclid=Cj0KCQiAkeSsBhDUARIsAK3tiefDhL3DpIzqKxvx6NTqi5pTZ-t4tJ_impAnK4A1R5RBMLmQ-3K9byQaAo2qEALw_wcB
Cj0KCQiAkeSsBhDUARIsAK3tiefMm1lxTfI-05Eq5x9-szkskgTZpvp11EWthrMbAwnEnIEAen-tfCUaAtf7EALw_wcB,2024-01-06T19:03:00-0500,"Billable Google Ads Call",1024.00,USD,1336753,"-All Locations | Phrase Match",https://fox-pest.com/local-location/?pest=flea&service=extermination&loc_interest_ms=&loc_physical_ms=9002163&gad_source=1&gbraid=0AAAAACVgtGDeJ_WcKU1Ej5yELHbligLWl&gclid=Cj0KCQiAkeSsBhDUARIsAK3tiefMm1lxTfI-05Eq5x9-szkskgTZpvp11EWthrMbAwnEnIEAen-tfCUaAtf7EALw_wcB
CjwKCAiAkp6tBhB5EiwANTCx1CazkAik0QDMrP1cyWZT74SxrwQjIhDzmuocles55PI6odkkVdo8aRoCHlgQAvD_BwE,2024-01-17T21:01:00-0500,"Billable Google Ads Call",200.00,USD,1338134,"-All Locations | Phrase Match",https://fox-pest.com/local-location/?pest=pest&service=control&loc_interest_ms=&loc_physical_ms=9008561&gad_source=1&gbraid=0AAAAACVgtGB-O3-THo11uRZsXZuQ0tAeJ&gclid=CjwKCAiAkp6tBhB5EiwANTCx1CazkAik0QDMrP1cyWZT74SxrwQjIhDzmuocles55PI6odkkVdo8aRoCHlgQAvD_BwE
Cj0KCQiAkeSsBhDUARIsAK3tieeHeh2FMJtcQgQUUBP1JNlNFSuxYdjUBQ_jT7LaOAXCsW_md6b8wmsaArlyEALw_wcB,2024-01-06T18:55:00-0500,"Billable Google Ads Call",930.00,USD,1336751,"-All Locations",https://fox-pest.com/local-location/?pest=mice&service=problems%20removal&loc_interest_ms=&loc_physical_ms=9003193&gad_source=1&gbraid=0AAAAACVgtGDI9JTx3v7OSUS5xzpwNXUhl&gclid=Cj0KCQiAkeSsBhDUARIsAK3tieeHeh2FMJtcQgQUUBP1JNlNFSuxYdjUBQ_jT7LaOAXCsW_md6b8wmsaArlyEALw_wcB
EAIaIQobChMIuPquopvlgwMVUXFHAR0J5Q39EAAYASAAEgIn3_D_BwE,2024-01-17T19:01:00-0500,"Billable Google Ads Call",1026.00,USD,1338099,"-All Locations | Phrase Match",https://fox-pest.com/local-location/?pest=flea&service=extermination&loc_interest_ms=&loc_physical_ms=9002076&gad_source=1&gbraid=0AAAAACVgtGB-O3-THo11uRZsXZuQ0tAeJ&gclid=EAIaIQobChMIuPquopvlgwMVUXFHAR0J5Q39EAAYASAAEgIn3_D_BwE
EAIaIQobChMI0uvNnMzlgwMVV01HAR1emwUzEAAYASAAEgIfo_D_BwE,2024-01-17T22:44:00-0500,"Billable Google Ads Call",777.00,USD,1338160,"-All Locations",https://fox-pest.com/local-location/?pest=rat&service=removal&loc_interest_ms=&loc_physical_ms=9002060&gad_source=5&gclid=EAIaIQobChMI0uvNnMzlgwMVV01HAR1emwUzEAAYASAAEgIfo_D_BwE
Cj0KCQiAtaOtBhCwARIsAN_x-3KJA2sA3D0zrcWHxbu1E4Ma9aWa25kiNBL2AoQQxwqosLmZDgAGRGsaAnggEALw_wcB,2024-01-18T15:28:00-0500,"Billable Google Ads Call",925.00,USD,1338213,"-All Locations | Phrase Match",https://fox-pest.com/local-location/?pest=mice&service=removal&loc_interest_ms=&loc_physical_ms=9005887&gad_source=1&gclid=Cj0KCQiAtaOtBhCwARIsAN_x-3KJA2sA3D0zrcWHxbu1E4Ma9aWa25kiNBL2AoQQxwqosLmZDgAGRGsaAnggEALw_wcB
Cj0KCQiAtaOtBhCwARIsAN_x-3IrjfVewx6wCIm7exMuf-SnhIbH6SJsviT6GkysYTgh4v_xQdD4JfwaAiwnEALw_wcB,2024-01-18T14:00:00-0500,"Billable Google Ads Call",750.00,USD,1338192,"-All Locations | Phrase Match",https://fox-pest.com/local-location/?pest=mice&service=removal&loc_interest_ms=&loc_physical_ms=9012393&gad_source=1&gbraid=0AAAAACVgtGD-oKvVgD_UAdQ0WSxv6sBQc&gclid=Cj0KCQiAtaOtBhCwARIsAN_x-3IrjfVewx6wCIm7exMuf-SnhIbH6SJsviT6GkysYTgh4v_xQdD4JfwaAiwnEALw_wcB
Cj0KCQiAtaOtBhCwARIsAN_x-3KmpkWq2Ch2gtRoniJbZ3ewv_LaQnc-n-w3giGWP3kCV8cUAQR_GyYaAkL3EALw_wcB,2024-01-18T14:55:00-0500,"Billable Google Ads Call",877.00,USD,1338203,"-All Locations",https://fox-pest.com/local-location/?pest=mice&service=removal&loc_interest_ms=&loc_physical_ms=9008552&gad_source=1&gclid=Cj0KCQiAtaOtBhCwARIsAN_x-3KmpkWq2Ch2gtRoniJbZ3ewv_LaQnc-n-w3giGWP3kCV8cUAQR_GyYaAkL3EALw_wcB
Cj0KCQiAtaOtBhCwARIsAN_x-3JGb4QtzZKWXvltP9UdIw249Bev6t2_gYed5bUe4hwIK9Kcf4LOoBsaAt5mEALw_wcB,2024-01-18T17:51:00-0500,"Billable Google Ads Call",934.00,USD,1338261,"-All Locations",https://fox-pest.com/local-location/?pest=pest&service=control&loc_interest_ms=&loc_physical_ms=9004527&gad_source=1&gbraid=0AAAAACVgtGAf1LYsm7pHuxNhbi6wrR6Bj&gclid=Cj0KCQiAtaOtBhCwARIsAN_x-3JGb4QtzZKWXvltP9UdIw249Bev6t2_gYed5bUe4hwIK9Kcf4LOoBsaAt5mEALw_wcB
CjwKCAiA1-6sBhAoEiwArqlGPq8Dgt8g-k8htmNlD2DK7FQJkS1chuG-LKNyBGZf3bDb3LrBNndjKxoCsjUQAvD_BwE,2024-01-08T14:09:00-0500,"Billable Google Ads Call",855.00,USD,1336797,"-Demand Gen - All Locations",https://fox-pest.com/local-location/?pest=exterminator&service=&loc_interest_ms=9011789&loc_physical_ms=9011789&gclid=CjwKCAiA1-6sBhAoEiwArqlGPq8Dgt8g-k8htmNlD2DK7FQJkS1chuG-LKNyBGZf3bDb3LrBNndjKxoCsjUQAvD_BwE
Cj0KCQiAtaOtBhCwARIsAN_x-3LLxko1LCgcVlCD03Z3F3gRM2ssDfAJIqgrbiSrcJsD4kW6pGl4uSAaAtEUEALw_wcB,2024-01-18T21:04:00-0500,"Billable Google Ads Call",725.00,USD,1338295,"-All Locations | Phrase Match",https://fox-pest.com/local-location/?pest=mice&service=removal&loc_interest_ms=&loc_physical_ms=9021653&gad_source=1&gclid=Cj0KCQiAtaOtBhCwARIsAN_x-3LLxko1LCgcVlCD03Z3F3gRM2ssDfAJIqgrbiSrcJsD4kW6pGl4uSAaAtEUEALw_wcB
CjwKCAiA1-6sBhAoEiwArqlGPj_D-faDBWww0uYJaSvWMDC49ztl9KCgZLl0T7iJZtRTi7BhWuZotxoCPdIQAvD_BwE,2024-01-08T15:04:00-0500,"Billable Google Ads Call",590.00,USD,1336802,"-All Locations | Phrase Match",https://fox-pest.com/local-location/?pest=pest&service=control&loc_interest_ms=&loc_physical_ms=9021605&gad_source=1&gbraid=0AAAAACVgtGCWjDJOa9Xu_GPEdh1IMn0Uq&gclid=CjwKCAiA1-6sBhAoEiwArqlGPj_D-faDBWww0uYJaSvWMDC49ztl9KCgZLl0T7iJZtRTi7BhWuZotxoCPdIQAvD_BwE
CjwKCAiAkp6tBhB5EiwANTCx1I63oVJcItSTIKVwDhyNnWHTbHSRNcLtNhWrfC1Tl1Dp2d5ZZNeEQBoCCjwQAvD_BwE,2024-01-17T17:28:00-0500,"Billable Google Ads Call",870.00,USD,1338271,"-All Locations | Phrase Match",https://fox-pest.com/local-location/?pest=pest&service=control&loc_interest_ms=&loc_physical_ms=9002213&gad_source=1&gbraid=0AAAAACVgtGDqkbxi1hpa6_zvtntvaNz8S&gclid=CjwKCAiAkp6tBhB5EiwANTCx1I63oVJcItSTIKVwDhyNnWHTbHSRNcLtNhWrfC1Tl1Dp2d5ZZNeEQBoCCjwQAvD_BwE
EAIaIQobChMI5amXpLLGgwMVQ_nICh08-wyZEAAYASAAEgJP-vD_BwE,2024-01-05T12:53:00-0500,"Billable Google Ads Call",979.00,USD,1336808,"-Pmax | FPD Engagement | All Locations",https://fox-pest.com/?utm_term&utm_campaign=Performance%20Max%20All%20Locations%20FPD&utm_source=adwords&utm_medium=ppc&hsa_acc=6850114974&hsa_cam=13351061035&hsa_grp&hsa_ad&hsa_src=x&hsa_tgt&hsa_kw&hsa_mt&hsa_net=adwords&hsa_ver=3&gad_source=1&gclid=EAIaIQobChMI5amXpLLGgwMVQ_nICh08-wyZEAAYASAAEgJP-vD_BwE
CjwKCAiA7t6sBhAiEiwAsaieYjo3O-YULellbWWbnviEotAqrPpHuikZsSuiEuUJ4YdEwWdROOW8XxoCnSYQAvD_BwE,2024-01-05T18:47:00-0500,"Billable Google Ads Call",1950.00,USD,1336846,"-Demand Gen - All Locations",https://fox-pest.com/local-location/?pest=exterminator&service=&loc_interest_ms=9005554&loc_physical_ms=9005554&gclid=CjwKCAiA7t6sBhAiEiwAsaieYjo3O-YULellbWWbnviEotAqrPpHuikZsSuiEuUJ4YdEwWdROOW8XxoCnSYQAvD_BwE
EAIaIQobChMIlZvq-8zOgwMVxVBHAR0GJAFOEAAYAyAAEgIrvPD_BwE,2024-01-08T19:12:00-0500,"Billable Google Ads Call",965.00,USD,1336873,"-All Locations | Phrase Match",https://fox-pest.com/local-location/?pest=pest&service=control&loc_interest_ms=&loc_physical_ms=9004686&gad_source=1&gbraid=0AAAAACVgtGCWjDJOa9Xu_GPEdh1IMn0Uq&gclid=EAIaIQobChMIlZvq-8zOgwMVxVBHAR0GJAFOEAAYAyAAEgIrvPD_BwE
EAIaIQobChMI2LzL2crpgwMVr2VHAR0e-AU6EAAYASAAEgK4-vD_BwE,2024-01-19T12:48:00-0500,"Billable Google Ads Call",868.00,USD,1338322,"-All Locations | Phrase Match",https://fox-pest.com/local-location/?pest=pest&service=control&loc_interest_ms=&loc_physical_ms=9006620&gad_source=1&gbraid=0AAAAACVgtGAT3OmQC_oiRM1gCQIGWod5K&gclid=EAIaIQobChMI2LzL2crpgwMVr2VHAR0e-AU6EAAYASAAEgK4-vD_BwE
